Wall time,Step,Value
1748730939.5451639,0,-20101.958984375
1748731158.9333386,1,-8890.18359375
1748731349.859206,2,-19833.79296875
1748731487.9865656,3,-25419.69140625
1748731643.6923046,4,-44437.44140625
1748731803.8217301,5,-38501.77734375
1748731960.4032154,6,-40304.04296875
1748732148.3907123,7,-64071.1796875
1748732315.3239136,8,-59115.17578125
1748732489.8901477,9,-51297.4609375
1748732652.1587617,10,-59756.921875
1748732827.588526,11,-76483.734375
1748733008.5497465,12,-63984.61328125
1748733179.5124996,13,-43568.1328125
1748733353.0645723,14,-45787.8515625
1748733511.1176922,15,-54845.19140625
1748733680.3309734,16,-61702.7265625
1748733863.1076508,17,-51171.44140625
1748734016.343785,18,-54815.10546875
1748734203.131039,19,-67893.53125
1748734374.9880903,20,-57445.39453125
1748734552.2610455,21,-45455.2265625
1748734694.0093791,22,-50680.30078125
1748734846.8016453,23,-70676.28125
1748735004.8562133,24,-54612.01953125
1748735178.0060313,25,-52194.0
1748735343.8008437,26,-59706.0546875
1748735529.2636762,27,-66006.1015625
1748735703.6113448,28,-48540.98828125
1748735866.4227316,29,-46261.4765625
1748736033.6200645,30,-72868.8046875
1748736214.6839693,31,-68843.78125
1748736378.1929646,32,-59199.52734375
1748736546.7469842,33,-50061.3359375
1748736702.4668896,34,-50603.40625
1748736862.1333945,35,-80555.0625
1748737043.129794,36,-43130.15625
1748737204.4914677,37,-53819.296875
1748737355.2164283,38,-61812.08984375
1748737522.364742,39,-70765.328125
1748737714.1971676,40,-114062.9375
1748737873.1282184,41,-53772.7421875
1748738026.9695244,42,-59783.41796875
1748738192.9404144,43,-62003.91015625
1748738364.497093,44,-56611.88671875
1748738513.9908695,45,-65229.4453125
1748738835.0929308,46,-58869.71484375
1748739147.7029867,47,-62002.91796875
1748739472.3606846,48,-56979.2890625
1748739806.7347991,49,-81527.2734375
1748740092.2202675,50,-43640.86328125
1748740397.1558988,51,-42889.796875
1748740696.7268484,52,-59312.30078125
1748740845.8787305,53,-52365.97265625
1748741020.8413067,54,-79912.1796875
1748741199.951705,55,-54211.4765625
1748741356.820582,56,-59787.76953125
1748741538.3889945,57,-71670.96875
1748741709.1882744,58,-46028.48828125
1748741865.154257,59,-52038.6171875
