Wall time,Step,Value
1748730919.65258,0,-18418.169921875
1748731089.0327613,1,-17542.376953125
1748731256.4792151,2,-44026.1796875
1748731528.3692055,3,-43848.1875
1748731801.6052067,4,-45979.38671875
1748732109.770666,5,-35007.2734375
1748732411.1271298,6,-55535.33984375
1748732698.3780954,7,-43036.41015625
1748733021.7653608,8,-33428.01171875
1748733324.6589866,9,-36167.59765625
1748733608.5614488,10,-54545.36328125
1748733910.3950474,11,-37104.28125
1748734216.3681056,12,-29907.392578125
1748734507.1818142,13,-44400.36328125
1748734787.9300518,14,-39445.79296875
1748735100.9241154,15,-44806.08203125
1748735414.953631,16,-54933.2421875
1748735686.3674307,17,-33512.51953125
1748735980.735054,18,-60240.01953125
1748736288.9857612,19,-32460.470703125
1748736576.966305,20,-53669.95703125
1748736744.621228,21,-37899.3828125
1748736905.1362648,22,-46412.05859375
1748737064.8159962,23,-38163.625
1748737225.9437342,24,-31610.681640625
1748737377.0795014,25,-38062.62890625
1748737544.6966505,26,-39347.0390625
1748737713.6205873,27,-42050.4375
1748737867.2787712,28,-31930.359375
1748738022.8700545,29,-34619.203125
1748738184.3490522,30,-48368.82421875
1748738343.213596,31,-41048.2109375
1748738508.448882,32,-49349.51953125
1748738816.592799,33,-37428.47265625
1748739115.0107863,34,-53271.11328125
1748739453.3574605,35,-47390.62890625
1748739799.1672127,36,-39969.17578125
1748740087.1097918,37,-55274.37890625
1748740398.2102892,38,-34576.51953125
1748740694.7400408,39,-50954.9609375
1748741013.8850172,40,-42415.796875
1748741318.512851,41,-40287.12890625
1748741599.1093261,42,-34655.16796875
1748741766.4840755,43,-42025.35546875
1748741912.1020336,44,-42258.02734375
1748742083.0714834,45,-43249.80078125
1748742264.0123715,46,-77841.484375
1748742425.7452505,47,-45718.31640625
1748742728.1370373,48,-63379.80078125
1748743024.9718928,49,-38258.82421875
1748743322.4721174,50,-35709.9140625
1748743627.9056728,51,-41382.57421875
1748743923.3677473,52,-45533.65234375
1748744210.744959,53,-41565.0546875
1748744515.3552194,54,-32135.3671875
1748744849.7329595,55,-40924.83203125
1748745135.8437536,56,-31421.61328125
1748745424.7668018,57,-47156.28125
1748745716.85796,58,-36436.39453125
1748746042.3556972,59,-38108.43359375
1748746343.5836756,60,-37557.20703125
1748746654.4609368,61,-40194.30859375
1748746960.351157,62,-59548.03125
1748747284.0037074,63,-31151.994140625
1748747560.7971609,64,-37628.26171875
1748747845.0228102,65,-37356.53125
1748748177.360904,66,-36254.765625
1748748517.1505766,67,-35846.86328125
1748748702.162781,68,-90615.53125
1748748859.5387857,69,-49125.29296875
1748749025.91862,70,-37511.078125
1748749202.9318707,71,-43190.51953125
1748749381.4315033,72,-46058.44140625
1748749558.9115474,73,-48140.26171875
1748749725.286902,74,-75629.0546875
1748749895.843982,75,-27446.517578125
1748750044.834677,76,-70414.1328125
1748750223.4815667,77,-52662.1640625
1748750379.3021307,78,-36326.609375
1748750563.5262525,79,-39934.55859375
1748750728.143795,80,-42161.36328125
1748750893.2501647,81,-35536.54296875
1748751069.2798855,82,-37461.58984375
1748751237.924116,83,-73915.9375
1748751404.9185798,84,-41069.125
1748751573.1319509,85,-52070.8359375
1748751746.0436773,86,-45743.23046875
1748751916.842341,87,-69169.1953125
1748752102.4385412,88,-39997.80859375
1748752272.0629358,89,-31168.095703125
1748752441.0228043,90,-40281.171875
1748752602.6287503,91,-34907.140625
1748752765.3323202,92,-37219.546875
1748753043.900943,93,-34863.1484375
1748753348.6806164,94,-42976.87890625
1748753639.2802474,95,-40811.7421875
1748753921.1930654,96,-28279.845703125
1748754215.2259293,97,-33201.16796875
1748754546.3851333,98,-34198.58203125
1748754868.3614993,99,-38854.6796875
1748755186.8014376,100,-61207.2109375
1748755485.6420352,101,-30566.501953125
1748755782.1326818,102,-31604.6953125
1748756062.5016816,103,-45368.3671875
1748756340.1277092,104,-51806.34375
1748756637.2362936,105,-40066.4609375
1748756934.7018228,106,-40743.46875
1748757256.4945052,107,-47857.0234375
1748757539.4545684,108,-29713.4140625
1748757865.4802127,109,-37411.9375
1748758192.4493809,110,-36572.58984375
1748758481.5965762,111,-41572.91015625
1748758776.7463036,112,-36585.3203125
1748759042.3616955,113,-52776.53125
1748759330.4229562,114,-38950.4296875
1748759630.17024,115,-34482.609375
1748759831.370573,116,-39805.55078125
1748760018.8335693,117,-38748.7734375
1748760196.5912714,118,-38670.41796875
1748760372.7575042,119,-49505.8125
1748760554.5103173,120,-48151.95703125
1748760714.2934885,121,-64870.234375
1748760885.5775025,122,-51003.0
1748761034.0923686,123,-44184.90625
1748761200.9469013,124,-38794.0078125
1748761364.7578557,125,-32651.447265625
1748761530.2762434,126,-30460.30078125
1748761714.1683736,127,-59654.765625
1748761905.876138,128,-30641.388671875
1748762228.378807,129,-39947.52734375
1748762536.9992487,130,-36335.58984375
1748762728.3674026,131,-37186.48828125
